,phase,len_40,len_data
0,1,0,1
1,1,0,1
2,1,0,1
3,1,0,1
4,1,1,1
5,1,2,2
6,2,1,2
7,2,3,3
8,2,8,8
9,2,0,1
10,2,0,1
11,2,0,1
12,2,0,1
13,2,0,1
14,2,1,2
15,2,1,1
16,2,1,1
17,2,1,1
18,2,0,1
19,2,0,1
20,2,1,1
21,2,6,6
22,2,2,3
23,2,4,5
24,2,0,1
25,2,1,1
26,2,2,2
27,2,3,4
28,2,1,1
29,2,3,4
30,2,0,1
31,2,0,1
32,2,2,2
33,2,1,1
34,3,1,2
35,3,1,2
36,3,0,1
37,3,6,7
38,3,0,1
39,3,4,5
40,3,3,3
41,3,0,1
42,3,0,1
43,3,0,1
44,3,1,2
45,3,0,1
46,3,0,1
47,3,3,4
48,3,0,1
49,3,1,1
50,3,1,1
51,3,1,1
52,3,6,7
53,3,2,2
54,3,3,3
55,3,1,1
56,3,1,2
57,3,0,1
58,3,5,6
59,3,5,6
60,3,5,6
61,3,1,2
62,3,1,2
63,3,2,3
64,3,3,4
65,3,0,1
66,3,0,1
67,3,2,3
68,3,1,1
69,3,3,3
70,3,3,4
71,3,2,2
72,3,1,2
73,3,5,5
74,4,2,2
75,4,2,2
76,4,0,1
77,4,1,1
78,4,8,8
79,4,0,1
80,4,1,2
81,4,2,3
82,4,3,3
83,4,0,1
84,4,0,1
85,4,2,2
86,4,5,5
87,4,0,1
88,4,1,1
89,4,0,1
90,4,4,4
91,4,7,8
92,4,0,1
93,4,4,4
94,4,3,4
95,4,1,1
96,4,1,1
97,4,2,3
98,4,3,4
99,4,2,2
100,4,1,1
101,4,1,2
102,4,0,1
103,4,6,7
104,4,1,1
105,4,6,6
106,4,1,2
107,4,1,2
108,4,2,3
109,4,7,7
110,4,2,3
111,4,0,1
112,4,3,4
113,4,1,1
114,4,3,3
115,4,5,5
116,4,1,2
117,4,3,3
118,4,3,4
119,4,6,6
120,5,1,2
121,5,1,2
122,5,0,1
123,5,1,1
124,5,5,5
125,5,0,1
126,5,0,1
127,5,1,2
128,5,2,3
129,5,5,5
130,5,0,1
131,5,0,1
132,5,1,2
133,5,1,1
134,5,0,1
135,5,2,2
136,5,0,1
137,5,3,4
138,5,8,8
139,5,0,1
140,5,5,6
141,5,3,3
142,5,1,2
143,5,0,1
144,5,0,1
145,5,1,1
146,5,3,4
147,5,3,4
148,5,0,1
149,5,1,1
150,5,1,1
151,5,1,1
152,5,0,1
153,5,6,7
154,5,2,3
155,5,5,6
156,5,1,2
157,5,2,3
158,5,4,5
159,5,2,3
160,5,3,4
161,5,6,7
162,5,0,1
163,5,3,4
164,5,5,6
165,5,3,3
166,5,4,5
167,5,1,2
168,5,4,4
169,5,3,4
170,5,1,2
171,5,6,7
172,5,0,1
