,BrandonAvilanR,DaniCastel,JorgeTorresC,JulianM96,Orloffyeah,SergioLopez40,StevenEsmar,alejosaur,anferoar96,anythinglord,cglaitong,csalfonsol,daapinzonch,evilcucaracha,jdsolanos,trickyjuggler,criscapunal,dcastanedar
BrandonAvilanR,99.8,18.6,14.4,23.6,21.7,12.4,21.3,24.7,17.9,22.0,20.0,20.0,17.8,4.5,20.5,19.1,10.0,20.1
DaniCastel,18.6,76.6,32.4,28.8,25.4,23.5,13.9,5.5,21.5,23.7,21.9,17.5,27.0,8.6,23.1,23.5,9.5,21.1
JorgeTorresC,14.4,32.4,100.0,25.4,25.4,22.7,10.3,4.8,19.8,20.0,19.3,15.3,23.4,4.3,21.2,18.9,10.7,21.6
JulianM96,23.6,28.8,25.4,0.0,26.8,23.9,0.0,27.0,0.0,26.3,22.4,24.5,29.1,0.0,24.1,0.0,12.1,24.0
Orloffyeah,21.7,25.4,25.4,26.8,32.6,17.8,24.9,29.2,21.5,25.8,23.4,21.7,28.1,13.8,24.0,22.5,8.3,24.9
SergioLopez40,12.4,23.5,22.7,23.9,17.8,99.9,22.0,23.7,19.6,17.5,16.8,13.5,20.6,2.7,22.9,16.6,6.6,22.2
StevenEsmar,21.3,13.9,10.3,0.0,24.9,22.0,0.0,22.3,0.0,22.7,20.6,21.0,26.2,0.0,22.2,0.0,7.4,22.2
alejosaur,24.7,5.5,4.8,27.0,29.2,23.7,22.3,100.0,23.4,26.8,23.9,25.7,29.1,14.2,25.6,24.4,10.5,25.9
anferoar96,17.9,21.5,19.8,0.0,21.5,19.6,0.0,23.4,0.0,19.9,19.3,19.0,23.5,0.0,20.2,0.0,9.0,20.1
anythinglord,22.0,23.7,20.0,26.3,25.8,17.5,22.7,26.8,19.9,100.0,22.2,23.8,26.8,13.2,17.7,20.6,12.9,21.8
cglaitong,20.0,21.9,19.3,22.4,23.4,16.8,20.6,23.9,19.3,22.2,100.0,15.5,24.1,12.1,17.5,20.2,13.3,21.0
csalfonsol,20.0,17.5,15.3,24.5,21.7,13.5,21.0,25.7,19.0,23.8,15.5,90.2,18.4,12.1,13.3,15.3,11.7,20.8
daapinzonch,17.8,27.0,23.4,29.1,28.1,20.6,26.2,29.1,23.5,26.8,24.1,18.4,28.3,3.8,22.7,22.3,14.2,21.8
evilcucaracha,4.5,8.6,4.3,0.0,13.8,2.7,0.0,14.2,0.0,13.2,12.1,12.1,3.8,0.0,12.8,0.0,5.6,12.7
jdsolanos,20.5,23.1,21.2,24.1,24.0,22.9,22.2,25.6,20.2,17.7,17.5,13.3,22.7,12.8,24.9,20.6,13.7,21.9
trickyjuggler,19.1,23.5,18.9,0.0,22.5,16.6,0.0,24.4,0.0,20.6,20.2,15.3,22.3,0.0,20.6,0.0,10.7,20.0
criscapunal,10.0,9.5,10.7,12.1,8.3,6.6,7.4,10.5,9.0,12.9,13.3,11.7,14.2,5.6,13.7,10.7,0.0,0.0
dcastanedar,20.1,21.1,21.6,24.0,24.9,22.2,22.2,25.9,20.1,21.8,21.0,20.8,21.8,12.7,21.9,20.0,0.0,0.0
