,user1,user2,user1_phase,user2_phase,similarity,stage,exploration,comparison_type,ssim_exp,group,exp_scale
181,diefrodriguezcha,diefrodriguezcha,1,2,0.3181818181818182,1,0.6818181818181819,functions,31.818181818181817,2,0.318182
677,adcorredorm,adcorredorm,1,2,0.2727272727272727,1,0.7272727272727273,functions,27.27272727272727,2,0.272727
802,DaveValencia,DaveValencia,1,2,1.0,1,0.0,functions,100.0,2,1.0
1178,pahigueraf,pahigueraf,1,2,0.48484848484848486,1,0.5151515151515151,functions,48.484848484848484,2,0.484848
1768,jannMorenoJ,jannMorenoJ,1,2,0.36,1,0.64,functions,36.0,2,0.36
1881,trickyjuggler,trickyjuggler,1,2,0.12195121951219512,1,0.8780487804878049,functions,12.195121951219512,2,0.121951
1998,casc3798,casc3798,1,2,0.6363636363636364,1,0.36363636363636365,functions,63.63636363636363,2,0.636364
2337,csalfonsol,csalfonsol,1,2,0.4,1,0.6,functions,40.0,2,0.4
2461,jsalcinar,jsalcinar,1,2,0.17857142857142858,1,0.8214285714285714,functions,17.857142857142858,2,0.178571
2575,jdgaitanf,jdgaitanf,1,2,0.1875,1,0.8125,functions,18.75,2,0.1875
2882,DSFarfanF,DSFarfanF,1,2,1.0,1,0.0,functions,100.0,2,1.0
2988,GabrielUnal,GabrielUnal,1,2,1.0,1,0.0,functions,100.0,2,1.0
3086,buendiagon,buendiagon,1,2,1.0,1,0.0,functions,100.0,2,1.0
3315,Anvido,Anvido,1,2,0.3488372093023256,1,0.6511627906976745,functions,34.883720930232556,2,0.348837
3504,dcastanedar,dcastanedar,1,2,1.0,1,0.0,functions,100.0,2,1.0
3605,federgolo,federgolo,1,2,0.16666666666666666,1,0.8333333333333334,functions,16.666666666666664,2,0.166667
3719,RafaelCruz15,RafaelCruz15,1,2,0.8571428571428571,1,0.1428571428571429,functions,85.71428571428571,2,0.857143
4468,Jufcardenasmo,Jufcardenasmo,1,2,0.3333333333333333,1,0.6666666666666667,functions,33.33333333333333,2,0.333333
4975,bsdiaza,bsdiaza,1,2,1.0,1,0.0,functions,100.0,2,1.0
515,gimg1859,gimg1859,2,3,1.0,2,0.0,functions,100.0,2,1.0
1487,FredyRosero,FredyRosero,2,3,0.42452830188679247,2,0.5754716981132075,functions,42.45283018867924,2,0.424528
2717,StevenEsmar,StevenEsmar,2,3,0.3333333333333333,2,0.6666666666666667,functions,33.33333333333333,2,0.333333
4203,serbatero,serbatero,2,3,1.0,2,0.0,functions,100.0,2,1.0
5074,adcorredorm,adcorredorm,2,3,0.2727272727272727,2,0.7272727272727273,functions,27.27272727272727,2,0.272727
5231,DaveValencia,DaveValencia,2,3,1.0,2,0.0,functions,100.0,2,1.0
5542,diefrodriguezcha,diefrodriguezcha,2,3,0.13636363636363635,2,0.8636363636363636,functions,13.636363636363635,2,0.136364
6444,trickyjuggler,trickyjuggler,2,3,0.44594594594594594,2,0.5540540540540541,functions,44.5945945945946,2,0.445946
6501,jannMorenoJ,jannMorenoJ,2,3,0.11538461538461539,2,0.8846153846153846,functions,11.538461538461538,2,0.115385
6677,casc3798,casc3798,2,3,0.35714285714285715,2,0.6428571428571428,functions,35.714285714285715,2,0.357143
7372,buendiagon,buendiagon,2,3,1.0,2,0.0,functions,100.0,2,1.0
7496,DSFarfanF,DSFarfanF,2,3,1.0,2,0.0,functions,100.0,2,1.0
7579,GabrielUnal,GabrielUnal,2,3,1.0,2,0.0,functions,100.0,2,1.0
7703,jsalcinar,jsalcinar,2,3,0.22448979591836735,2,0.7755102040816326,functions,22.448979591836736,2,0.22449
7899,jdgaitanf,jdgaitanf,2,3,0.6,2,0.4,functions,60.0,2,0.6
8344,RafaelCruz15,RafaelCruz15,2,3,0.375,2,0.625,functions,37.5,2,0.375
1245,gimg1859,gimg1859,3,4,1.0,3,0.0,functions,100.0,2,1.0
3133,StevenEsmar,StevenEsmar,3,4,0.3333333333333333,3,0.6666666666666667,functions,33.33333333333333,2,0.333333
3729,jssanchezo,jssanchezo,3,4,1.0,3,0.0,functions,100.0,2,1.0
4645,serbatero,serbatero,3,4,0.375,3,0.625,functions,37.5,2,0.375
6956,jannMorenoJ,jannMorenoJ,3,4,1.0,3,0.0,functions,100.0,2,1.0
7605,dcastanedar,dcastanedar,3,4,1.0,3,0.0,functions,100.0,2,1.0
8009,DSFarfanF,DSFarfanF,3,4,1.0,3,0.0,functions,100.0,2,1.0
8063,GabrielUnal,GabrielUnal,3,4,0.06818181818181818,3,0.9318181818181819,functions,6.8181818181818175,2,0.068182
8177,jdgaitanf,jdgaitanf,3,4,0.11538461538461539,3,0.8846153846153846,functions,11.538461538461538,2,0.115385
8331,Jufcardenasmo,Jufcardenasmo,3,4,0.21686746987951808,3,0.7831325301204819,functions,21.686746987951807,2,0.216867
8377,RafaelCruz15,RafaelCruz15,3,4,1.0,3,0.0,functions,100.0,2,1.0
7,dahrojasca,dahrojasca,4,5,0.2857142857142857,4,0.7142857142857143,functions,28.57142857142857,2,0.285714
3829,jssanchezo,jssanchezo,4,5,1.0,4,0.0,functions,100.0,2,1.0
3928,anferoar96,anferoar96,4,5,1.0,4,0.0,functions,100.0,2,1.0
5393,pahigueraf,pahigueraf,4,5,0.783068783068783,4,0.21693121693121697,functions,78.3068783068783,2,0.783069
6383,csalfonsol,csalfonsol,4,5,0.5797101449275363,4,0.42028985507246375,functions,57.971014492753625,2,0.57971
7326,federgolo,federgolo,4,5,0.4067796610169492,4,0.5932203389830508,functions,40.67796610169492,2,0.40678
7651,dcastanedar,dcastanedar,4,5,1.0,4,0.0,functions,100.0,2,1.0
7805,Anvido,Anvido,4,5,0.7017543859649122,4,0.29824561403508776,functions,70.17543859649122,2,0.701754
8288,bsdiaza,bsdiaza,4,5,1.0,4,0.0,functions,100.0,2,1.0
8353,Jufcardenasmo,Jufcardenasmo,4,5,0.9058823529411765,4,0.09411764705882353,functions,90.58823529411765,2,0.905882
