,Joacampora,Caadiazsi,Juankmilo97,Jufcardenasmo,casc3798,diefrodriguezcha,federgolo,jaleonro,jsalcinar,nviverosb,olimita,serbatero,xFortich,yaochoal,garayf,sebcamacho1703
Joacampora,0.0,21.2,35.5,34.3,21.6,31.6,25.5,25.2,27.0,30.4,28.5,20.5,5.8,33.8,21.8,29.1
Caadiazsi,21.2,0.0,35.9,35.6,16.7,30.6,25.0,13.4,20.2,37.1,29.7,15.7,30.8,38.0,11.6,20.5
Juankmilo97,35.5,35.9,0.0,40.5,17.1,24.8,19.8,19.9,21.9,25.9,22.5,16.8,36.8,25.6,18.7,21.5
Jufcardenasmo,34.3,35.6,40.5,0.0,25.8,34.7,28.6,28.1,30.8,32.7,33.6,28.1,0.0,47.4,24.6,33.8
casc3798,21.6,16.7,17.1,25.8,0.0,18.2,20.9,23.5,21.3,24.6,22.7,22.2,24.6,30.2,24.2,25.3
diefrodriguezcha,31.6,30.6,24.8,34.7,18.2,0.0,26.1,19.4,29.8,38.0,28.5,22.3,32.2,34.4,16.2,28.8
federgolo,25.5,25.0,19.8,28.6,20.9,26.1,0.0,22.0,23.4,29.4,23.5,24.3,28.1,27.2,18.4,25.6
jaleonro,25.2,13.4,19.9,28.1,23.5,19.4,22.0,0.0,17.2,28.2,25.1,13.3,24.9,36.0,21.4,18.5
jsalcinar,27.0,20.2,21.9,30.8,21.3,29.8,23.4,17.2,0.0,26.4,18.8,19.4,5.1,30.4,20.5,27.3
nviverosb,30.4,37.1,25.9,32.7,24.6,38.0,29.4,28.2,26.4,0.0,28.1,25.3,30.3,44.4,21.5,29.7
olimita,28.5,29.7,22.5,33.6,22.7,28.5,23.5,25.1,18.8,28.1,0.0,13.6,7.3,34.7,23.8,27.3
serbatero,20.5,15.7,16.8,28.1,22.2,22.3,24.3,13.3,19.4,25.3,13.6,0.0,4.1,24.4,18.1,22.0
xFortich,5.8,30.8,36.8,0.0,24.6,32.2,28.1,24.9,5.1,30.3,7.3,4.1,0.0,39.0,25.5,5.7
yaochoal,33.8,38.0,25.6,47.4,30.2,34.4,27.2,36.0,30.4,44.4,34.7,24.4,39.0,0.0,26.6,31.7
garayf,21.8,11.6,18.7,24.6,24.2,16.2,18.4,21.4,20.5,21.5,23.8,18.1,25.5,26.6,0.0,0.0
sebcamacho1703,29.1,20.5,21.5,33.8,25.3,28.8,25.6,18.5,27.3,29.7,27.3,22.0,5.7,31.7,0.0,0.0
